,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo,genre
202,0.372,0.973,0.0556,0.862,-25.647,0.041,183.835,Jazz
203,0.173,0.973,0.0893,0.942,-26.387,0.0383,74.082,Jazz
204,0.373,0.801,0.0799,0.181,-16.334,0.0329,143.075,Jazz
205,0.405,0.99,0.0683,0.93,-19.082,0.0471,121.822,Jazz
206,0.0896,0.894,0.225,0.902,-15.439,0.0372,73.044,Jazz
207,0.204,0.959,0.0816,0.943,-22.315,0.0442,109.15,Jazz
208,0.245,0.921,0.123,0.893,-21.068,0.041,60.832,Jazz
209,0.131,0.69,0.169,0.711,-18.479,0.0327,79.409,Jazz
210,0.455,0.996,0.0285,0.959,-34.835,0.0794,79.452,Classical
211,0.12,0.98,0.0384,0.768,-23.13,0.0425,92.792,Jazz
212,0.21,0.918,0.0514,0.813,-21.496,0.0455,111.475,Jazz
213,0.234,0.888,0.106,0.00298,-24.16,0.0586,141.982,Jazz
214,0.101,0.769,0.115,0.891,-17.553,0.0392,84.976,Jazz
215,0.194,0.797,0.136,0.144,-23.987,0.0418,77.767,Jazz
216,0.239,0.981,0.134,0.828,-19.858,0.0345,55.53,Jazz
217,0.0812,0.842,0.197,0.956,-17.511,0.0452,81.912,Jazz
218,0.229,0.986,0.0637,0.949,-24.687,0.035,96.28,Jazz
219,0.0958,0.679,0.0981,0.76,-20.357,0.0432,86.385,Jazz
220,0.0954,0.745,0.0781,0.699,-21.151,0.0388,87.94,Jazz
221,0.146,0.848,0.0774,0.456,-25.384,0.0427,102.456,Jazz
222,0.229,0.96,0.227,0.944,-16.967,0.0298,177.313,Jazz
223,0.264,0.981,0.113,0.934,-19.86,0.0407,116.989,Jazz
224,0.181,0.941,0.174,0.775,-16.683,0.0373,97.736,Jazz
225,0.0618,0.981,0.19,0.801,-16.299,0.038,59.032,Jazz
226,0.21,0.85,0.149,0.932,-18.826,0.0363,127.415,Jazz
227,0.247,0.971,0.0352,0.00863,-19.278,0.0455,129.192,Jazz
228,0.276,0.996,0.0127,0.918,-34.464,0.0485,75.004,Classical
229,0.163,0.844,0.137,0.904,-18.245,0.0447,82.91,Jazz
230,0.109,0.967,0.0568,0.607,-24.737,0.0496,175.4,Jazz
231,0.384,0.979,0.213,0.904,-15.808,0.0381,111.392,Jazz
232,0.284,0.821,0.405,0.219,-16.582,0.0654,150.121,Jazz
233,0.13,0.748,0.158,0.924,-16.132,0.035,85.031,Jazz
234,0.376,0.516,0.133,0.664,-19.173,0.0307,96.3,Classical
235,0.145,0.968,0.0401,0.946,-20.864,0.0419,75.074,Jazz
236,0.432,0.766,0.284,0.808,-18.513,0.0384,89.855,Jazz
237,0.287,0.957,0.0341,0.933,-25.228,0.0357,144.288,Jazz
238,0.167,0.949,0.0995,0.00311,-17.395,0.0378,81.377,Jazz
239,0.153,0.97,0.0484,0.111,-26.768,0.0406,59.023,Jazz
240,0.11,0.857,0.198,0.89,-19.806,0.0415,90.64,Jazz
241,0.189,0.977,0.017,0.942,-28.915,0.0342,75.119,Jazz
242,0.12,0.932,0.119,0.752,-18.348,0.043,82.702,Jazz
243,0.115,0.978,0.0597,0.94,-24.522,0.0428,85.33,Jazz
244,0.428,0.99,0.0299,0.918,-25.039,0.0417,99.41,Jazz
245,0.264,0.969,0.112,0.835,-15.968,0.041,80.691,Jazz
246,0.18,0.263,0.276,0.905,-12.433,0.0349,82.515,Jazz
247,0.504,0.995,0.0877,0.933,-20.134,0.0534,132.576,Jazz
248,0.51,0.95,0.0644,0.974,-23.718,0.0383,116.02,Jazz
249,0.167,0.987,0.118,0.946,-24.694,0.0413,128.963,Jazz
250,0.128,0.93,0.153,0.895,-20.475,0.0486,170.956,Jazz
251,0.108,0.924,0.0533,0.717,-28.737,0.041,87.446,Jazz
252,0.076,0.947,0.0476,0.877,-28.166,0.0382,79.679,Jazz
253,0.197,0.986,0.0202,0.898,-27.563,0.0362,80.692,Jazz
254,0.255,0.227,0.0478,0.000566,-29.99,0.0469,78.298,Classical
255,0.194,0.956,0.0224,0.36,-29.814,0.0529,84.808,Jazz
256,0.142,0.947,0.016,0.161,-32.111,0.0436,101.201,Jazz
257,0.363,0.931,0.0479,0.939,-29.101,0.0392,126.688,Jazz
258,0.28,0.931,0.287,0.888,-22.167,0.0367,87.953,Jazz
259,0.204,0.927,0.138,0.936,-17.897,0.0419,112.174,Jazz
260,0.188,0.981,0.0324,0.93,-27.706,0.0397,71.6,Jazz
261,0.0927,0.802,0.224,0.932,-16.665,0.043,168.455,Jazz
262,0.454,0.979,0.143,0.951,-16.309,0.0458,107.196,Jazz
263,0.197,0.953,0.112,0.864,-20.286,0.0576,137.638,Jazz
264,0.217,0.975,0.117,0.911,-21.398,0.0374,46.755,Jazz
265,0.483,0.994,0.0176,0.928,-25.501,0.052,76.384,Jazz
266,0.581,0.959,0.0621,0.29,-21.149,0.0312,88.869,Jazz
267,0.492,0.627,0.387,0.579,-13.949,0.0408,149.478,Jazz
268,0.393,0.992,0.0444,0.87,-23.541,0.0491,82.137,Jazz
269,0.0878,0.941,0.04,0.933,-30.104,0.044,85.225,Jazz
270,0.153,0.96,0.0551,0.788,-23.94,0.0412,149.959,Jazz
271,0.185,0.966,0.0312,0.942,-26.226,0.0382,97.198,Jazz
272,0.18,0.275,0.00911,0.283,-40.841,0.0387,66.929,Classical
273,0.315,0.961,0.032,0.337,-29.387,0.0453,103.758,Jazz
274,0.129,0.906,0.22,0.0104,-16.575,0.0444,80.848,Jazz
275,0.391,0.223,0.444,0.702,-13.66,0.0297,143.299,Classical
276,0.177,0.943,0.0737,0.333,-22.837,0.0648,184.869,Jazz
277,0.151,0.985,0.227,0.981,-16.3,0.049,89.29,Jazz
278,0.184,0.94,0.00984,0.236,-32.951,0.0473,98.178,Classical
279,0.199,0.99,0.132,0.962,-22.293,0.0444,114.158,Jazz
280,0.25,0.958,0.135,0.0349,-18.615,0.0488,94.404,Jazz
281,0.444,0.967,0.0828,0.965,-20.891,0.0447,123.038,Jazz
282,0.243,0.68,0.00254,0.0,-47.882,0.0341,92.904,Classical
283,0.0785,0.991,0.0347,0.981,-27.897,0.0412,174.79,Jazz
284,0.297,0.878,0.301,0.796,-11.754,0.0323,162.21,Jazz
285,0.298,0.988,0.0875,0.943,-22.874,0.0433,78.675,Jazz
286,0.111,0.891,0.0386,0.00485,-27.943,0.054,171.518,Jazz
287,0.429,0.992,0.0293,0.877,-24.895,0.0368,101.049,Jazz
288,0.105,0.981,0.112,0.874,-20.419,0.0377,81.65,Jazz
289,0.174,0.97,0.122,0.895,-16.03,0.0401,117.352,Jazz
290,0.196,0.877,0.226,0.339,-17.265,0.0421,133.427,Jazz
291,0.248,0.965,0.24,0.859,-11.491,0.0397,74.557,Jazz
292,0.423,0.994,0.0269,0.939,-22.353,0.0691,67.382,Jazz
293,0.356,0.298,0.319,0.91,-12.628,0.0295,75.792,Classical
294,0.399,0.627,0.232,0.813,-14.445,0.0348,120.998,Jazz
295,0.152,0.932,0.171,0.868,-16.298,0.0412,77.736,Jazz
296,0.44,0.994,0.0651,0.952,-19.038,0.053,57.151,Jazz
297,0.264,0.897,0.228,0.0499,-13.141,0.0384,125.884,Jazz
298,0.198,0.935,0.147,0.711,-17.109,0.0366,87.609,Jazz
299,0.689,0.933,0.141,0.909,-18.961,0.0319,110.085,Jazz
300,0.615,0.5,0.91,0.511,-4.248,0.0347,111.013,Jazz
301,0.481,0.735,0.262,0.0114,-15.73,0.0414,122.861,Jazz
302,0.502,2.55e-05,0.912,0.000173,-4.556,0.0564,116.761,Rock
303,0.273,0.0169,0.952,0.0111,-8.762,0.0843,100.271,Rock
304,0.933,0.112,0.528,0.329,-6.472,0.162,109.975,Jazz
305,0.574,0.061,0.913,0.00158,-4.793,0.133,115.728,Rock
306,0.535,0.326,0.716,0.0,-5.025,0.0431,94.379,Rock
307,0.412,0.0484,0.902,0.131,-11.6,0.405,89.74,Jazz
308,0.515,0.0097,0.43,0.000133,-9.935,0.0372,91.844,Classical
309,0.427,0.745,0.201,0.263,-13.044,0.0317,105.218,Jazz
310,0.307,0.388,0.433,9.08e-05,-10.057,0.029,160.9,Rock
311,0.534,0.0768,0.887,9.93e-05,-3.777,0.0345,122.494,Rock
312,0.5,0.127,0.748,0.0,-9.072,0.0363,118.852,Rock
313,0.743,0.0039,0.446,0.118,-7.807,0.0683,123.596,Classical
314,0.579,0.00574,0.508,0.000494,-9.484,0.027,147.125,Classical
315,0.545,0.00249,0.64,0.0304,-9.937,0.224,80.544,Jazz
316,0.49,0.000671,0.758,0.484,-6.491,0.0297,112.114,Jazz
317,0.536,0.00145,0.901,0.0186,-7.211,0.0374,87.559,Rock
318,0.489,0.313,0.724,0.185,-8.367,0.0352,117.292,Rock
319,0.473,0.00783,0.898,0.0618,-4.797,0.0561,96.556,Rock
320,0.426,8.44e-05,0.619,0.00239,-11.501,0.0722,162.721,Rock
321,0.721,0.0289,0.488,0.038,-10.294,0.067,152.287,Classical
322,0.559,0.0576,0.345,0.000105,-13.496,0.0459,84.581,Classical
323,0.31,0.011,0.7,0.00965,-5.678,0.047,188.386,Rock
324,0.413,5.99e-05,0.881,0.000308,-5.541,0.0367,158.066,Rock
325,0.723,0.0383,0.863,0.0317,-7.89,0.0338,136.302,Rock
326,0.326,0.214,0.872,0.0,-7.602,0.122,173.381,Rock
327,0.828,0.0644,0.492,0.00428,-9.744,0.0276,120.151,Classical
328,0.693,0.679,0.497,0.0,-7.316,0.119,81.308,Jazz
329,0.579,0.00206,0.824,0.00903,-8.71,0.03,123.331,Rock
330,0.597,0.181,0.605,0.000331,-12.013,0.0255,97.782,Rock
331,0.741,0.0664,0.697,2.28e-05,-7.028,0.0277,116.109,Rock
332,0.438,0.262,0.71,0.537,-12.412,0.0919,145.928,Jazz
333,0.56,0.0408,0.605,0.000162,-11.209,0.0348,144.478,Rock
334,0.813,0.56,0.46,0.0105,-9.78,0.0346,117.387,Jazz
335,0.504,0.00512,0.911,0.0123,-2.97,0.0738,106.244,Rock
336,0.567,0.0995,0.959,6.07e-05,-3.822,0.102,137.377,Rock
337,0.581,0.00197,0.854,0.0013,-8.485,0.0428,131.18,Rock
338,0.437,0.396,0.864,0.0314,-7.842,0.0904,81.394,Rock
339,0.651,0.123,0.801,0.0,-7.34,0.0514,133.769,Rock
340,0.533,0.0302,0.376,0.248,-11.913,0.0393,165.007,Classical
341,0.315,0.000825,0.534,0.108,-7.552,0.031,116.891,Rock
342,0.446,0.0901,0.952,0.0857,-5.321,0.0523,125.303,Rock
343,0.73,0.0632,0.868,0.0661,-7.325,0.0288,148.217,Rock
344,0.372,0.000453,0.865,0.0,-4.918,0.0381,174.53,Rock
345,0.45,0.0118,0.877,4.95e-05,-6.403,0.0532,162.477,Rock
346,0.674,0.00178,0.789,0.00708,-6.903,0.0676,129.802,Rock
347,0.256,0.199,0.641,0.0329,-10.283,0.0552,203.006,Rock
348,0.55,0.448,0.824,0.000127,-5.988,0.0334,114.512,Rock
349,0.591,0.327,0.804,5.98e-06,-7.299,0.0454,111.457,Rock
350,0.168,0.000598,0.974,0.783,-4.862,0.0655,205.278,Jazz
351,0.442,0.00293,0.943,8.71e-06,-3.205,0.0602,85.064,Rock
352,0.572,0.171,0.835,0.000377,-6.219,0.0317,129.981,Rock
353,0.338,0.58,0.34,0.0032,-12.049,0.0339,82.433,Rock
354,0.42,0.0981,0.965,0.000335,-1.986,0.0403,176.243,Rock
355,0.486,0.166,0.449,2.23e-06,-10.298,0.0267,100.456,Rock
356,0.414,0.271,0.404,0.0,-9.928,0.0499,71.105,Rock
357,0.445,0.234,0.706,0.000252,-9.803,0.0461,80.823,Rock
358,0.595,0.195,0.996,0.0345,-3.418,0.0599,152.049,Rock
359,0.54,0.000202,0.429,0.355,-11.822,0.0285,110.171,Classical
360,0.427,0.116,0.459,0.000103,-12.442,0.0332,129.878,Rock
361,0.324,0.0155,0.931,0.0252,-6.803,0.0837,82.748,Rock
362,0.317,0.00091,0.879,0.00142,-7.533,0.0406,169.534,Rock
363,0.359,0.00125,0.981,0.00236,-3.622,0.303,178.98,Jazz
364,0.307,0.0154,0.635,0.00483,-8.957,0.0339,166.973,Rock
365,0.377,0.000894,0.682,0.00217,-8.039,0.0299,108.736,Rock
366,0.513,0.0195,0.979,0.0951,-6.362,0.0425,152.875,Rock
367,0.446,0.551,0.239,4.1e-06,-13.945,0.0316,189.507,Jazz
368,0.438,0.00255,0.805,5.69e-05,-6.237,0.0624,113.253,Rock
369,0.502,0.000147,0.89,0.0117,-5.175,0.0364,133.52,Rock
370,0.598,0.116,0.901,0.0401,-6.081,0.0359,153.24,Rock
371,0.676,0.00101,0.92,8.65e-06,-7.96,0.0435,126.341,Rock
372,0.421,0.2,0.751,0.0,-9.584,0.0472,89.839,Rock
373,0.398,0.000373,0.952,7.75e-05,-6.042,0.061,122.093,Rock
374,0.356,0.0335,0.917,0.0,-6.006,0.0479,171.176,Rock
375,0.686,0.301,0.92,0.27,-6.231,0.0566,135.027,Rock
376,0.673,0.0133,0.814,0.00293,-5.411,0.0367,147.193,Rock
377,0.365,0.0144,0.924,0.000254,-7.066,0.0488,135.811,Rock
378,0.482,0.00321,0.786,8.88e-05,-5.735,0.032,126.755,Rock
379,0.356,0.00101,0.924,0.0,-3.74,0.0808,148.017,Rock
380,0.519,0.0204,0.441,0.000453,-14.178,0.0353,81.334,Classical
381,0.454,0.0866,0.91,0.0996,-7.766,0.0448,125.116,Rock
382,0.656,0.046,0.931,0.0,-5.827,0.0976,144.747,Rock
383,0.624,0.0221,0.899,0.000137,-5.709,0.0296,104.061,Rock
384,0.741,0.117,0.58,3.31e-05,-9.05,0.0304,127.402,Classical
385,0.663,0.524,0.712,0.0,-7.268,0.0479,113.439,Rock
386,0.284,0.00752,0.875,0.000461,-6.069,0.0422,75.009,Rock
387,0.402,0.00484,0.873,7.3e-05,-3.209,0.0586,125.443,Rock
388,0.541,0.0663,0.96,2.25e-06,-2.947,0.0505,122.803,Rock
389,0.294,0.05,0.745,0.125,-9.138,0.0461,134.364,Rock
390,0.404,5.59e-05,0.72,0.836,-9.18,0.0623,121.864,Classical
391,0.505,0.0103,0.836,0.0771,-7.384,0.101,159.669,Rock
392,0.546,0.0629,0.529,0.000567,-13.6,0.0436,151.727,Classical
393,0.631,0.0731,0.689,0.000357,-8.358,0.0284,107.667,Rock
394,0.458,0.442,0.502,5.51e-06,-10.186,0.0294,121.861,Rock
395,0.82,0.0936,0.575,0.000135,-9.144,0.0408,123.765,Classical
396,0.629,0.0424,0.897,0.0,-3.401,0.0483,161.944,Rock
397,0.636,0.0648,0.746,0.29,-3.785,0.0393,132.31,Rock
398,0.588,0.128,0.559,0.0,-4.849,0.0272,123.845,Rock
399,0.404,0.577,0.903,0.297,-3.88,0.0668,115.672,Rock
